Do you own a wireless speaker?,How often do you use your wireless speaker?,How would you rate the sound quality of your wireless speaker?,Please tell us a bit more about your rating of the sound quality of your wireless speaker. ,What's most important to you in a wireless speaker? [Sound quality],What's most important to you in a wireless speaker? [Battery life],What's most important to you in a wireless speaker? [Design/Looks],"What's most important to you in a wireless speaker? [Connectivity options (e.g., Bluetooth, Wi-Fi)]",What's most important to you in a wireless speaker? [Durability],What's most important to you in a wireless speaker? [Price],Which brands of wireless speakers do you own or have used before? (Select all that apply) ,"What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Recommendation from friends/family]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Online reviews from other customers]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Expert reviews]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Brand reputation]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Price]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Specific features]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Advertising]",How happy are you with your wireless speaker?,What would make your wireless speaker better?,What do you mostly use your wireless speaker for? (Select all that apply),Have any other lifestyle changes in the past year changed how you use wireless speakers? (Select all that apply),How much did you spend on your wireless speaker? (US dollars),How likely are you to buy a new wireless speaker in the next 12 months?,Where do you like to buy wireless speakers?,How do you think about and evaluate the price when buying a wireless speaker? ,How old are you?,What is your gender?,What's your annual household income?,"Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below.","Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below."
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,COULD BE BETTER,6,5,4,1,3,2,JBL,3,5,5,2,4,3,1,4,THE DESIGN AND SIZE,LISTENING TO MUSIC,VIBING WITH ROOMMATES,$50 TO $100,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),I EVALUATE BASED ON MY BUDGET,18-24,FEMALE,PREFER NOT TO SAY,NO COMMENTS,No comments
YES,SEVERAL TIMES A WEEK,GOOD,"I LIKE SPEAKERS WITH DETAILED SOUNDS, WHERE ICAN HEAR ALL THE LITTLE INSTRUMENTS PLAYING IN THE BACKGROUND. VERY CLEAR VERY PROFOUND ",6,5,4,3,2,1,"BOSE, JBL, SONY, BEATS PILL",3,1,2,3,3,4,3,3,BETTER SOUND,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","SPENDING MORE TIME AT HOME, HOME WORKOUTS",$50 TO $100,4,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),"IF IT SOUNDS GOOD, ITS WORTH WHATEVER PRICE",25-34,MALE,"LESS THAN $25,000",NA,NA
YES,DAILY,EXCELLENT,"THE SOUND QUALITY IS OF GOOD ONE, THE BEST OF IT IS HOW THE TONE AND BASS SOUNDS WHEN MUSIC IS PLAYED, JUST ON A MAXIMUM TEMPO.THE WIRELESS SPEAKER HAS A GOOD QUALITY, BEING USING IT  OVER A YEAR PLUS NOW AND ALL I CAN RATE THEM IS 90%",6,3,4,1,5,2,STUDIO 6,5,5,2,5,2,5,5,1,IT IS BETTER AS IT IS ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),I EVALUATE THE PRICE BASE ON THE DURABILITY AND QUALITY OF THE PRODUCT ,18-24,MALE,"LESS THAN $25,000",NONE AT ALL.,None at all.
YES,ONCE A WEEK,GOOD,"CLEAR, EVEN AT HIGH VILUMES",3,6,4,2,5,1,"BOSE, JBL",4,2,5,5,4,3,1,4,VOICE CONTROL,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, HOME WORKOUTS",$50 TO $100,3,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),DON’T WANT TO SPEND A LOT ,18-24,MALE,PREFER NOT TO SAY,.,.
YES,DAILY,GOOD,IT’S GOOD AND IT SOUNDS LOUD ENOUGH ,5,4,2,3,6,1,BOSE,2,3,2,3,1,3,1,5,WATERPROOF ,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$50 TO $100,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),IF THE QUALITY IS WORTH THE PRICE ,18-24,FEMALE,"$25,000-$50,000","MAKE SPEAKERS THAT ARE GOOD QUALITY POR DECENT PRICE, AND IF IT’S WATERPROOF QUALITY SOUND SHOULD INCREASE ","Make speakers that are good quality por decent price, and if it’s waterproof quality sound should increase "
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,EXCELLENT,VERY GOOD SOUND,5,4,1,3,6,2,"BOSE, MARSHALL, SONY",3,4,4,5,5,5,3,5,BETTER SOUND OUTPUT FOR LOW FREQUENCY,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, VIDEO/AUDIO CALLS (WORK/PERSONAL)",SPENDING MORE TIME AT HOME,- MORE THAN $300,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I WILL TRY FOR THE QUALITY FIRST.,45-54,MALE,"MORE THAN $100,000",N/A,N/A
YES,DAILY,GOOD,GOOD ,1,3,2,4,5,6,JBL,5,3,5,5,1,5,1,4,THE BATTERY LIFE ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), MORE ONLINE SOCIAL INTERACTIONS",LESS THAN $50,5,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),AFFORDABLE FOR ME ,18-24,MALE,PREFER NOT TO SAY,NO EXTRA FEEDBACK ,No extra feedback 
YES,DAILY,EXCELLENT,"THE SOUND HAS A GREAT RANGE THAT ALLOWS ME TO USE FOR PARTIES/SOCIAL SETTINGS AS WELL AS MORE RELAXED TIMES. I LIKE THAT THE SOUND IS ISOLATED, BEING ABLE TO LISTEN TO IT IN ONE ROOM AND THE MUSIC NOT REACHING FURTHER AWAY ROOMS/PLACES. ",5,2,1,4,6,3,"BOSE, JBL, MARSHALL",3,3,3,5,4,5,5,5,"THE VERSATILITY (IT’S NOT VERSATILE, ACTUALLY QUITE BIG)",LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$200 TO $300,4,BRAND WEBSITES,IF THE PRICE IS RELATIVE WITH THE DURABILITY AND QUALITY OF THE SPEAKER. ,18-24,FEMALE,"MORE THAN $100,000", , 
YES,DAILY,EXCELLENT,IT'S A JBL AND IT'S LOUD AND CLEAR,1,2,3,4,5,6,"JBL, SONY",4,4,4,4,4,4,4,5,NOTHING,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$200 TO $300,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",SHOULD BE REASONABLE ACCORDING TO THE GIVEN FEATURES,55-64,MALE,PREFER NOT TO SAY,N/A,N/A
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,ONCE A WEEK,GOOD,AVERAGE,6,5,4,3,2,1,"BOSE, JBL",4,2,2,5,3,3,2,4,BETTER BATTERY LIFE,LISTENING TO MUSIC,HOME WORKOUTS,$50 TO $100,3,BRAND WEBSITES,.,18-24,FEMALE,PREFER NOT TO SAY,.,.
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,1-3 TIMES A MONTH,GOOD,IT’S GOOD BUT NOT THAT LOUD,1,2,5,4,3,6,JBL,3,4,3,5,5,4,4,5,LESS GLITCHES IN CONNECTION ,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),IF IT’S WORTH IT CONSIDERING THE SPEAKER QUALITY ,18-24,FEMALE,"LESS THAN $25,000",VERY GOOD ,Very good 
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,IT HAS DECENT VOLUME,6,5,1,2,3,4,"BOSE, JBL, SONY",3,4,4,4,5,4,4,4,LOUDER VOLUME,LISTENING TO MUSIC,"WORKING FROM HOME MORE, HOME WORKOUTS",$100 TO $200,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",COMPARING PRICES OF OTHER SPEAKERS,18-24,FEMALE,PREFER NOT TO SAY,LALALA,lalala
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,LOWS ARE PUNCHY AND PRONOUNCED EVEN AT HIGHER VOLUMES ,6,4,5,3,2,1,JBL,1,5,5,5,5,5,3,5,SWAPABLE BATTERY PACKS ,"LISTENING TO MUSIC, GAMING",SPENDING MORE TIME AT HOME,$200 TO $300,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),IF IT'S RIGHT IT'S RIGHT ,18-24,MALE,PREFER NOT TO SAY,NONE ,None 
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,IT SOUNDS GREAT,4,3,2,1,5,6,"BOSE, JBL, SONY",1,1,1,1,5,1,1,5,FASTER CHARGING,LISTENING TO MUSIC,HOME WORKOUTS,LESS THAN $50,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),IT DEPENDS ON THE BRAND AND SIZE OF THE SPEAKER,18-24,MALE,PREFER NOT TO SAY,.,.
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,ONCE A WEEK,EXCELLENT,I REALLY LIKE DIFFERENT MUSIC GENRES AND THIS INCLUDES DIFFERENT BASS AND VOCALS LEVELS SO I RATE THE QUALITY BASED ON HOW CLEAN THE MUSIC SOUNDS,6,5,3,2,1,4,"BOSE, JBL, SONY",1,4,5,5,5,2,1,5,FASTER CHARGING ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","SPENDING MORE TIME AT HOME, MORE ONLINE SOCIAL INTERACTIONS, HOME WORKOUTS",$100 TO $200,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",THE PRICE TENDS TO BE GETTING HIGHER AS THE NEW SPEAKERS COME OUT BUT WHAT THEY OFFER IS NOT CHANGING MUCH.,18-24,FEMALE,"$50,000-$75,000",NO,No
YES,SEVERAL TIMES A WEEK,EXCELLENT,THE BASE IS EXCELLENT AND I'VE HAD THE SPEAKER COMING ON THREE YEARS AND THE SOUND QUALITY REMAINS UNCHANGED.,6,5,1,2,4,3,JBL,2,4,2,5,3,3,1,5,"I HAD IT CUSTOMIZED WITH A PICTURE, AND IT WOULD BE GREAT IF THE PICTURE'S PRINTED QUALITY WAS BETTER. IT HAS CONTINUED TO PEEL, REVEALING THE COLOR OF THE SPEAKER ITSELF (BLACK).",LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$100 TO $200,1,BRAND WEBSITES,"THE REPUTATION OF THE BRAND IS A LARGE CONSIDERATION WHEN JUSTIFYING THE PRICE. I THINK ABOUT THE BRAND, APPEARANCE, CAPABILITIES, AND BATTERY LIFE.",18-24,FEMALE,"$75,000-$100,000",THANK YOU!,Thank you!
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,IT'S A BIT OLD BUT IT STILL SOUNDS GOOD,5,6,1,3,4,2,"SAMSUNG, SONY",2,4,4,4,4,3,2,4,THAT THE BATTERY LASTS LONGER,"LISTENING TO MUSIC, VIDEO/AUDIO CALLS (WORK/PERSONAL)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",LESS THAN $50,4,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),IF IT IS GOOD QUALITY AND DURABLE I DON'T MIND PAYING A LITTLE MORE.,18-24,FEMALE,"$25,000-$50,000",.,.
YES,1-3 TIMES A MONTH,EXCELLENT,IT’S LOUD AND CLEAR ,6,5,1,4,2,3,JBL,1,3,2,5,4,3,1,5,EVEN LOUDER AND LONGER BATTERY LIFE ,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$200 TO $300,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",QUALITY AND FEATURES INCLUDED,18-24,FEMALE,PREFER NOT TO SAY,N/A,N/A
YES,RARELY (FEWER THAN ONCE A MONTH),GOOD,"IT'S LOUDER THAN MY PHONE AND CLEAR, THE BASS IS JUST A LITTLE WEIRD SOMETIMES.",6,4,1,5,3,2,"BOSE, JBL, JAM",3,2,2,2,5,4,1,3,IF IT WAS BIGGER AND MOVED WHERE THE BASS SPEAKER IS.,LISTENING TO MUSIC,NO,LESS THAN $50,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),IF I HAVE THE MONEY TO BUY A DECENT SPEAKER THAT I LIKE.,18-24,MALE,PREFER NOT TO SAY,HI DJ!!!!,Hi DJ!!!!
YES,DAILY,EXCELLENT,"SOUND QUALITY IS AMAZING, CRISP, CLEAR, AND LOUD",6,5,2,3,4,1,JBL,1,4,5,4,4,4,1,5,INTEGRATED INTO THE APPLE ECOSYSTEM ,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, HOME WORKOUTS",$50 TO $100,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","THE FEATURES THE SPEAKER OFFERS, SOUND QUALITY, LOUDNESS, BATTERY LIFE, ETC.",18-24,MALE,"LESS THAN $25,000",NOTHING ELSE.,Nothing else.
YES,1-3 TIMES A MONTH,GOOD,"SOUNDS PRETTY GOOD, BUT NOT GREAT. AUDIO CAN SOUND DISTORTED AT LOUDER VOLUMES. ",1,6,3,2,5,4,BEATS AND ANKER SOUNDCORE,1,3,4,5,4,5,2,4,AIRPLAY 2 SUPPORT,LISTENING TO MUSIC,NO,$100 TO $200,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",EVALUATE THE PRICE AND FEATURE SETS OF VARIOUS BRANDS TO FIND A GOOD VALUE. ,25-34,MALE,"MORE THAN $100,000","I OWN THE NEW BEATS PILL SPEAKER. OVERALL I THINK IT’S PRETTY GOOD, BUT I REALLY WISH IT SUPPORTED AIRPLAY 2. ","I own the new Beats Pill speaker. Overall I think it’s pretty good, but I really wish it supported AirPlay 2. "
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,GOOD,"
MY SPEAKER KNOWN FOR ITS GOOD PERFORMANCE IN THE BUDGET CATEGORY. IT GENERALLY OFFERS A BALANCED SOUND WITH DECENT CLARITY AND BASS FOR ITS PRICE RANGE. HOWEVER, IT MIGHT NOT HAVE THE SAME LEVEL OF DETAIL OR POWER AS HIGHER-END SPEAKERS. IF YOU'RE LOOKING FOR A PORTABLE, AFFORDABLE OPTION WITH SOLID SOUND QUALITY, IT'S A GOOD CHOICE. FOR AUDIOPHILES OR THOSE SEEKING PREMIUM SOUND, YOU MIGHT WANT TO CONSIDER MORE EXPENSIVE MODELS.",4,6,2,1,3,5,BOSE,4,4,4,5,5,3,3,4,THE BASS COULD BE MORE BETTER,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, WORKOUT/GYM",HOME WORKOUTS,LESS THAN $50,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I READ THE REVIEWS AND COMPARED THE PRICE OF THE SIMILAR PRODUCT.,18-24,MALE,PREFER NOT TO SAY,CONSUMER BUY THE ONES WHICH ARE SOLD MORE AND HAVE THE BETTER REVIEWS,Consumer buy the ones which are sold more and have the better reviews
YES,DAILY,GOOD,"BETTER THAN AVERAGE, SUFFICIENT BASS AND CLEAR MIDS/HIGHS WITHOUT SOUNDING HOLLOW OR TINNY",6,4,2,3,1,5,"BOSE, JBL, MARSHALL, SONY, HARMAN KARDON, UE, SOUNDCORE, TRIBIT",3,4,5,3,5,5,3,4,"BETTER BASS, LOWEST LATENCY, 3.5 MM AUX-IN","LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), MORE ONLINE SOCIAL INTERACTIONS, HOME WORKOUTS",$100 TO $200,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",VALUE RELATIVE TO THE SOUND/FEATURE QUALITY,35-44,PREFER NOT TO SAY,PREFER NOT TO SAY,N.A,N.A
YES,1-3 TIMES A MONTH,EXCELLENT,GREAT QUALITY AND VOLUME,3,4,1,6,2,5,"BOSE, JBL, SONY, AMAZON (ALEXA)",5,4,4,4,5,1,2,5,"NOTHING, I REALLY LIKE IT",LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$50 TO $100,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),DEPENDS ON THE QUALITY AND THE FEATURES IT HAS,18-24,FEMALE,"$50,000-$75,000",NA,na
YES,SEVERAL TIMES A WEEK,GOOD,"JUST BECAUSE THE SPEAKER IS OLD AND WE USE IT VERY OFTEN, THE SOUND NOW IS NOT AS GOOD AS IT WAS BACK THEN, IT SOUNDS LIKE DROWN BUT IT FUNCTIONS",6,5,2,1,3,4,"BOSE, SAMSUNG, SONY",3,3,4,4,5,5,3,3,THE BATTERY LIFE AND THE QUALITY OF THE SOUND,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,4,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","I THINK THE RELATION BETWEEN QUALITY AND PRICE IS SUPER IMPORTANT, BECAUSE YOU SEARCH FOR THE BEST OPTION AND A GREAT PRICE, BUT EVEN IF THE PRICE IS HIGH AND THE QUALITY IS BEYOND GREAT, I´M WILLING TO PAY A HIGH PRICE ",18-24,FEMALE,"$50,000-$75,000",-,-
YES,DAILY,AVERAGE,ITS FINE YOU GET WHAT YOU PAID FOR,6,4,1,3,2,5,"BOSE, SONY",3,5,5,5,5,4,4,3,"HIGHER MAX VOLUME, SLEEKER DESIGN","LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, GAMING, WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), MORE ONLINE SOCIAL INTERACTIONS, HOME WORKOUTS",$200 TO $300,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",FEATURES AND COMPARE MODELS,18-24,MALE,"MORE THAN $100,000",N/A,n/a
YES,SEVERAL TIMES A WEEK,AVERAGE,THE SOUND SOMETIMES IS BLURRY ,6,5,1,2,4,3,"BOSE, JBL, SONY",2,2,2,4,3,2,2,4,VOLUME AND BATTERY,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$50 TO $100,3,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I FOCUS ON THE DURABILITY OF IT,18-24,FEMALE,PREFER NOT TO SAY,:),:)
YES,RARELY (FEWER THAN ONCE A MONTH),GOOD,SOMETIMES I THINK THAT THE VOLUME IS NOT THAT HIGH,6,4,1,5,2,3,"BOSE, JBL",2,4,4,2,3,5,3,3,NEW FEATURES ,LISTENING TO MUSIC,HOME WORKOUTS,$100 TO $200,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),"IF THE PRICE IS WORTH IT, I WOULD BUY IT ",18-24,MALE,"$75,000-$100,000",NOPE,Nope
YES,SEVERAL TIMES A WEEK,EXCELLENT,AFTER 5 YEARS IT SOUNDS AMAZING ,2,1,5,4,3,6,BOSE,4,4,1,5,2,4,3,5,PORTABILITY ,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, HOME WORKOUTS",$200 TO $300,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),COMPARING TO OTHER SIMILAR SPEAKERS AND WHERE DOES THE DIFFERENCE LIES ,18-24,FEMALE,PREFER NOT TO SAY,NA,NA
YES,1-3 TIMES A MONTH,AVERAGE,2 OUT OF 5,6,5,3,4,2,1,I DON'T KNOW THE NAME ,2,1,3,3,5,4,2,3,IT SHOULD BE LOUDER ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,1,BRAND WEBSITES,...,18-24,FEMALE,"LESS THAN $25,000",THANKS,Thanks
YES,DAILY,GOOD,ES MUY BUENO PORQUE ME SIRVE JUSTO PARA LO QUE NECESITO,3,6,2,5,4,1,"BOSE, SAMSUNG",2,1,5,5,3,5,1,3,QUE DURE MÁS LA PILA ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",- MORE THAN $300,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",QUE EL PRECIO SEA PORQUE ES UN BUEN PRODUCTO ,18-24,FEMALE,PREFER NOT TO SAY,NO,No
YES,SEVERAL TIMES A WEEK,GOOD,I THINK IT CAN DEFINITELY BE BETTER BUT IT DOES ITS WORK,5,6,4,3,2,1,"BOSE, SAMSUNG",4,5,2,3,4,4,2,3,DURABILITY ,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$200 TO $300,3,BRAND WEBSITES,I LOOK FOR INFO OF THE BRAND,18-24,FEMALE,"$50,000-$75,000",NO,no
YES,DAILY,GOOD,.,3,1,2,4,6,5,SAMSUNG,3,3,4,5,5,5,4,4,.,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, VIDEO/AUDIO CALLS (WORK/PERSONAL)","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",MEASURING WHETHER QUALITY IS EQUIVALENT TO PRICE,18-24,FEMALE,"LESS THAN $25,000",.,.
YES,SEVERAL TIMES A WEEK,AVERAGE,MY SPEAKER IS FROM 2016 AND A LITTLE OUTDATED.,4,5,3,1,2,6,"JBL, SAMSUNG",2,3,2,4,4,4,4,3,IF IT COULD PLAY MUSIC LOUDER.,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,4,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),"CHEAP SPEAKERS ARE $20, ANYTHING ABOVE THAT SHOULD HAVE GOOD SOUND QUALITY AND SHOULD BE LOUD.",18-24,MALE,"$50,000-$75,000",NOTHING IN PARTICULAR ,Nothing in particular 
YES,SEVERAL TIMES A WEEK,EXCELLENT,THIS SPEAKER HAS AN ADAPTIVE SYSTEM THAT ALLOWS TO IMPROVE OR DECREASE THE DEVICE OR THE HIGH SOUNDS DEPENDING ON THE TYPE OF MUSIC THAT YOU’RE LISTENING TO.,6,5,4,2,3,1,"BOSE, JBL, HARMAN KARDON, SONOS, BEATS",1,5,5,3,3,5,1,5,IMPROVEMENT OF DESIGN,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",- MORE THAN $300,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","IF THE PRICE JUSTIFIES THE AMOUNT OF FEATURES, QUALITY AND SOUND SYSTEM OF THE SPEAKER I DON’T CARE ABOUT IT",18-24,MALE,"$50,000-$75,000",-,-
YES,1-3 TIMES A MONTH,GOOD,THE QUALITY ,6,5,4,3,2,1,SAMSUNG,5,5,5,5,5,5,5,3,THE QUALITY ,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS",SPENDING MORE TIME AT HOME,LESS THAN $50,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",THE QUALITY ,18-24,FEMALE,"LESS THAN $25,000",EVERYTHING IS GOOD ,Everything is good 
